ISO,Country,Region,Variable,LGA,LGH,LGT,MXA,MXH,MXT,URB,OTHER,WTD-AV,Scenario
CHE,Switzerland,EUR,dmi,1.0284,0,0,0,0,1.0147,1.0145,1.0198,1.0177,2085_SSP585
CHL,Chile,SAM,dmi,1.0127,1.0134,1.0212,1.0074,1.014,1.03,1.0105,1.0172,1.014,2085_SSP585
CHN,China,EAP,dmi,1.0318,0.9399,1.0173,0.9924,0.9604,0.986,0.9758,0.9806,0.9837,2085_SSP585
CIV,Cote d'Ivoire,SSA,dmi,0.9015,0.9009,0,0.9012,0.9006,0,0,0.9003,0.9009,2085_SSP585
CMR,Cameroon,SSA,dmi,0.9016,0.9091,0.9304,0.9039,0.9178,0.9305,0,0.9019,0.9095,2085_SSP585
COD,Dem Rep of Congo,SSA,dmi,0.9351,0.9059,0.9511,0,0.9115,0.981,0.905,0.9083,0.9112,2085_SSP585
COG,Congo,SSA,dmi,0,0.903,0,0,0.9028,0,0.9018,0.9031,0.903,2085_SSP585
COL,Colombia,SAM,dmi,0.9564,0.9047,0.9558,0.9002,0.9055,0.9823,0.9369,0.9245,0.9221,2085_SSP585
CRI,Costa Rica,CAM,dmi,0,0,0,0,0.9041,0.9886,0.9046,0.907,0.9097,2085_SSP585
CUB,Cuba,CAM,dmi,0,0,0,0,0.9056,0,0.9031,0.9072,0.9058,2085_SSP585
CYP,Cyprus,WANA,dmi,0.9641,0,0,0.9539,0,0,0.9543,0,0.9558,2085_SSP585
CZE,Czech Republic,EUR,dmi,0,0,0,0,0,1.0139,1.0158,1.0156,1.0151,2085_SSP585
DEU,Germany,EUR,dmi,0,0,0,0,0,1.0142,1.0139,1.0142,1.0142,2085_SSP585
DJI,Djibouti,SSA,dmi,0.9021,0,0,0,0,0,0,0,0.9021,2085_SSP585
DNK,Denmark,EUR,dmi,0,0,0,0,0,1.0174,1.0173,1.0173,1.0174,2085_SSP585
DMA,Dominica,CAM,dmi,0,0,0,0,0.9076,0,0,0.9261,0.9123,2085_SSP585
DZA,Algeria,WANA,dmi,0.9496,0,0,0.975,0.9734,0.9807,0.9716,0.9702,0.966,2085_SSP585
ECU,Ecuador,SAM,dmi,0.9479,0.9081,0.9992,0.9189,0.9217,0.9969,0.9465,0.9566,0.9521,2085_SSP585
EGY,Egypt,WANA,dmi,0.9451,0,0,0.9512,0,0,0.9478,0,0.9468,2085_SSP585
ERI,Eritrea,SSA,dmi,0.9042,0,0,0.9227,0,0.9562,0,0,0.9217,2085_SSP585
ESP,Spain,EUR,dmi,0.9893,0,1.0132,0.9833,0.969,1.0127,0.9947,1.0026,0.9949,2085_SSP585
EST,Estonia,EUR,dmi,0,0,1.0191,0,0,1.0186,0,1.0187,1.0187,2085_SSP585
ETH,Ethiopia,SSA,dmi,0.9171,0.9266,0.9636,0.9418,0.9708,0.9836,0.9769,0.9692,0.9677,2085_SSP585
FIN,Finland,EUR,dmi,0,0,1.0323,0,0,1.0224,1.0212,1.0224,1.0223,2085_SSP585
FRA,France,EUR,dmi,1.0076,1.0032,1.0101,1.0067,1.0097,1.0103,1.0069,1.0093,1.0086,2085_SSP585
GAB,Gabon,SSA,dmi,0,0.9019,0,0,0.9016,0,0,0.9016,0.9017,2085_SSP585
GBR,UK,EUR,dmi,0,0,1.0213,1.0181,1.0166,1.0183,1.0181,1.0215,1.0186,2085_SSP585
GEO,Georgia,WANA,dmi,0.9819,0,1.0157,0.9886,0.9885,1.0081,0.995,1.0181,1.0033,2085_SSP585
GHA,Ghana,SSA,dmi,0.9005,0.9003,0,0.9004,0.9003,0,0.9001,0.9002,0.9003,2085_SSP585
GIN,Guinea,SSA,dmi,0.9023,0.9031,0,0.9016,0.9035,0,0,0.9006,0.9027,2085_SSP585
GMB,Gambia,SSA,dmi,0,0,0,0.9017,0,0,0,0,0.9017,2085_SSP585
GNB,Guinea-Bissau,SSA,dmi,0.9013,0.9015,0,0.901,0.9004,0,0,0,0.9012,2085_SSP585
GNQ,Equatorial Guinea,SSA,dmi,0,0,0,0,0.9021,0,0,0.9021,0.9021,2085_SSP585
GRC,Greece,EUR,dmi,0.9846,0,0.9832,0.9838,0,0.9854,0.9826,0.9903,0.9856,2085_SSP585
GTM,Guatemala,CAM,dmi,0,0,0,0,0.9101,0.9752,0,0.9202,0.921,2085_SSP585
GUY,Guyana,SAM,dmi,0,0.9004,0,0,0,0,0.9001,0.9017,0.9015,2085_SSP585
HND,Honduras,CAM,dmi,0,0.9002,0,0.9136,0.9234,0,0,0.9111,0.9161,2085_SSP585
HRV,Croatia,EUR,dmi,0,0,0,0.9993,0.9885,0.9966,0,0.9949,0.9958,2085_SSP585
HTI,Haiti,CAM,dmi,0,0,0,0,0.9054,0.9211,0.903,0.9102,0.9065,2085_SSP585
HUN,Hungary,EUR,dmi,0,0,0,0,0,0.9988,0.9988,0.9989,0.9988,2085_SSP585
IDN,Indonesia,SEA,dmi,0,0.903,0.9746,0.9012,0.901,0.9132,0.901,0.9036,0.9018,2085_SSP585
IND,India,SA,dmi,0.9411,0.9494,1.0268,0.9183,0.9194,0.9879,0.9195,0.922,0.9204,2085_SSP585
IRL,Ireland,EUR,dmi,0,1.0191,1.0191,0,1.0186,1.019,1.0183,1.0196,1.0189,2085_SSP585
IRN,Iran,SA,dmi,0.9778,0,0.9935,0.9757,0.9617,0.9883,0.9747,0.9809,0.9773,2085_SSP585
IRQ,Iraq,WANA,dmi,0.9474,0,0,0.9469,0,0.984,0.9462,0.9572,0.9474,2085_SSP585
ISL,Iceland,EUR,dmi,0,0,1.0312,0,0,0,1.0287,1.0329,1.0313,2085_SSP585
ISR,Israel,WANA,dmi,0.9516,0,0,0.9542,0,0.9699,0.9522,0,0.9542,2085_SSP585
ITA,Italy,EUR,dmi,1.0053,0,0,0.9821,0.9753,0.9887,0.9902,1.0075,0.9914,2085_SSP585
JAM,Jamaica,CAM,dmi,0,0,0,0,0.9121,0,0,0.9011,0.9051,2085_SSP585
JOR,Jordan,WANA,dmi,0.9627,0,0,0.9562,0,0,0.9562,0,0.9613,2085_SSP585
JPN,Japan,EAP,dmi,0,0,1.0176,0.978,0.9797,1.0099,0.9839,0.9988,0.9958,2085_SSP585
KAZ,Kazakhstan,WANA,dmi,0,0,1,0,0,1.0089,1.0018,1.0181,1.0022,2085_SSP585
KEN,Kenya,SSA,dmi,0.9079,0.9084,0.9875,0.9414,0.9327,0.9782,0.9857,0.9589,0.942,2085_SSP585
KGZ,Kyrgyzstan,WANA,dmi,1.0227,0,1.0162,0,0,1.015,1.0255,1.0306,1.0173,2085_SSP585
KHM,Cambodia,SEA,dmi,0,0.9007,0,0,0.9003,0,0,0.9007,0.9004,2085_SSP585
KOR,South Korea,SEA,dmi,0,0,0,0,0,0.9866,0.986,0.9922,0.9886,2085_SSP585
KWT,Kuwait,WANA,dmi,0.9379,0,0,0.9359,0,0,0.9366,0,0.937,2085_SSP585
LAO,Laos,SEA,dmi,0,0.9265,0.9397,0,0.9134,0,0,0.9172,0.9176,2085_SSP585
LBN,Lebanon,WANA,dmi,0,0,0,0.974,0,0.9963,0,0,0.9809,2085_SSP585
LBR,Liberia,SSA,dmi,0,0,0,0,0.9018,0,0,0.9011,0.9016,2085_SSP585
LBY,Libya,WANA,dmi,0.9543,0,0,0.9522,0,0,0.9496,0.9645,0.9545,2085_SSP585
LKA,Sri Lanka,SA,dmi,0,0,0,0,0.9002,0,0,0.903,0.9012,2085_SSP585
LSO,Lesotho,SSA,dmi,0,0,1.0079,0,0,0.9991,0,0,0.9997,2085_SSP585
LTU,Lithuania,EUR,dmi,0,0,1.0172,0,0,1.017,1.017,1.0173,1.0171,2085_SSP585
LUX,Luxembourg,EUR,dmi,0,0,0,0,0,0,0,1.0134,1.0134,2085_SSP585
LVA,Latvia,EUR,dmi,0,0,1.0182,0,0,1.0178,0,1.0178,1.0178,2085_SSP585
MAR,Morocco,WANA,dmi,0.9677,0,0,0.9683,0,0.9784,0.9626,0.977,0.9695,2085_SSP585
MDG,Madagascar,SSA,dmi,0.9276,0.9468,0.9724,0.9259,0.9459,0.9865,0.9164,0.9358,0.9346,2085_SSP585
MEX,Mexico,CAM,dmi,0.957,0,0.9822,0.9394,0.9136,0.9703,0.9373,0.9478,0.9444,2085_SSP585
MKD,Macedonia,EUR,dmi,0,0,1.006,0.999,0,0,0.9907,0.9973,0.9988,2085_SSP585
MLI,Mali,SSA,dmi,0.9035,0,0,0.9017,0,0,0,0.9028,0.9026,2085_SSP585
MMR,Myanmar,SEA,dmi,0.9094,0.9211,0.9653,0.9048,0.9098,0.9606,0.9003,0.9162,0.911,2085_SSP585
MNE,Montenegro,EUR,dmi,0,0,0,0,0,1.0128,0,1.0158,1.0142,2085_SSP585
MNG,Mongolia,EAP,dmi,0,0,1.0241,0,0,1.0268,1.013,1.0283,1.0254,2085_SSP585
MOZ,Mozambique,SSA,dmi,0.917,0.9214,0,0.9215,0.923,0,0,0.9205,0.9197,2085_SSP585
MRT,Mauritania,SSA,dmi,0.9057,0,0,0.9019,0,0,0,0,0.9052,2085_SSP585
MUS,Mauritius,SSA,dmi,0,0,0,0,0,0,0.9276,0,0.9276,2085_SSP585
MWI,Malawi,SSA,dmi,0.9174,0.9163,0.9774,0.9348,0.9319,0.9503,0.9442,0.9398,0.9312,2085_SSP585
MYS,Malaysia,SEA,dmi,0,0.9025,0,0,0.9005,0,0.9004,0.9016,0.9011,2085_SSP585
NAM,Namibia,SSA,dmi,0.9457,0,0,0.9362,0,0,0.9323,0,0.9442,2085_SSP585
NER,Niger,SSA,dmi,0.9081,0,0,0.9034,0,0,0,0,0.906,2085_SSP585
NGA,Nigeria,SSA,dmi,0.9062,0.9022,0,0.9045,0.9018,0.9429,0.9002,0.9008,0.904,2085_SSP585
NIC,Nicaragua,CAM,dmi,0,0,0,0.9003,0.9027,0.929,0,0.9055,0.9051,2085_SSP585
NLD,Netherlands,EUR,dmi,0,0,0,0,0,1.0147,1.002,1.0148,1.0105,2085_SSP585
NOR,Norway,EUR,dmi,0,0,1.03,0,0,1.0276,1.0216,1.0244,1.025,2085_SSP585
NPL,Nepal,SA,dmi,1.0331,0,0,0.9313,0.9703,1.0031,0.963,0.9644,0.9663,2085_SSP585
NZL,New Zealand,EAP,dmi,1.0209,1.0096,1.0208,1.0162,1.0101,1.0251,1.004,1.0093,1.0106,2085_SSP585
OMN,Oman,WANA,dmi,0.9152,0,0,0,0,0,0,0,0.9152,2085_SSP585
PAK,Pakistan,SA,dmi,0.9376,0,0,0.9332,0,0.996,0.937,0.9677,0.9406,2085_SSP585
PAN,Panama,CAM,dmi,0,0.902,0,0,0.9006,0,0,0.9107,0.9049,2085_SSP585
PER,Peru,SAM,dmi,0.9949,0.9288,1.0087,0.9498,0.9138,1.0077,0.9894,0.9591,0.9883,2085_SSP585
PHL,Philippines,SEA,dmi,0,0,0,0,0.9039,0.9829,0,0.9062,0.9048,2085_SSP585
PNG,Papua New Guinea,EAP,dmi,0,0.9003,0,0,0.9052,0.9634,0,0.9249,0.9237,2085_SSP585
POL,Poland,EUR,dmi,0,0,0,0,0,1.0151,1.0146,1.0156,1.0151,2085_SSP585
PRT,Portugal,EUR,dmi,0.9831,0,0,0.9769,0.9769,0,0.9859,0.9807,0.9801,2085_SSP585
PRY,Paraguay,SAM,dmi,0.9199,0.9212,0,0.9164,0.9285,0,0.9395,0.9231,0.9235,2085_SSP585
PSE,Palestine,WANA,dmi,0,0,0,0,0,0,0.9539,0,0.9539,2085_SSP585
QAT,Qatar,WANA,dmi,0.9244,0,0,0,0,0,0,0,0.9244,2085_SSP585
ROU,Romania,EUR,dmi,0,0,0,0,0,1.0001,1.002,1.0143,1.0061,2085_SSP585
RUS,Russia,EUR,dmi,1.029,0,1.0106,1.0201,0,1.0112,1.0108,1.0218,1.0149,2085_SSP585
RWA,Rwanda,SSA,dmi,0,0,0,0,0.9455,0.9855,0,0,0.9753,2085_SSP585
SAU,Saudi Arabia,WANA,dmi,0.9297,0,0,0.9318,0,0,0.9265,0,0.9297,2085_SSP585
SDN,Sudan,WANA,dmi,0.9045,0.902,0,0.9038,0.9033,0,0.9017,0.9004,0.9039,2085_SSP585
SEN,Senegal,SSA,dmi,0.902,0,0,0.9021,0,0,0.9039,0,0.9021,2085_SSP585
SLE,Sierra Leone,SSA,dmi,0,0,0,0,0.9008,0,0,0.901,0.9008,2085_SSP585
SLV,El Salvador,CAM,dmi,0,0,0,0,0.9087,0,0.9058,0.9045,0.9067,2085_SSP585
SOM,Somalia,SSA,dmi,0.9025,0,0.9382,0.9005,0,0,0,0.9001,0.9022,2085_SSP585
SRB,Serbia,EUR,dmi,0,0,0,0,0,0.9958,0.9911,1.004,0.9966,2085_SSP585
SUR,Suriname,SAM,dmi,0,0,0,0,0.9001,0,0.9002,0.9008,0.9008,2085_SSP585
SVK,Slovakia,EUR,dmi,0,0,0,0,0,1.0101,1.0158,1.0156,1.013,2085_SSP585
SVN,Slovenia,EUR,dmi,0,0,0,0,0,1.0091,1.009,1.0082,1.0085,2085_SSP585
SWE,Sweden,EUR,dmi,0,0,1.0325,0,0,1.0183,1.0185,1.02,1.0195,2085_SSP585
SWZ,Swaziland,SSA,dmi,0,0,0,0.9443,0,0.9648,0,0.9477,0.9491,2085_SSP585
SYR,Syria,WANA,dmi,0.9648,0,0,0.9636,0,0,0.9594,0.9638,0.9641,2085_SSP585
TCD,Chad,SSA,dmi,0.9071,0,0,0.9045,0,0,0,0.9039,0.9057,2085_SSP585
TGO,Togo,SSA,dmi,0,0.9004,0,0.9004,0.9006,0,0.9002,0,0.9005,2085_SSP585
THA,Thailand,SEA,dmi,0,0.9061,0,0.9041,0.9028,0.9253,0.9024,0.9094,0.9037,2085_SSP585
TJK,Tajikistan,WANA,dmi,1.0202,0,0.9878,0.9848,0,0.9793,0.9696,1.0332,0.991,2085_SSP585
TKM,Turkmenistan,WANA,dmi,0.9707,0,0.9742,0.9718,0,0.9791,0.9777,0.9793,0.9742,2085_SSP585
TTO,Trinidad & Tobago,CAM,dmi,0,0,0,0,0.9008,0,0,0.9006,0.9007,2085_SSP585
TUN,Tunisia,WANA,dmi,0.9559,0,0,0.9641,0,0,0.9743,0.9655,0.9637,2085_SSP585
TUR,Turkey,WANA,dmi,1.0021,0,1.0051,0.9899,0,1.0028,0.9836,1.0005,0.9938,2085_SSP585
TZA,Tanzania,SSA,dmi,0.928,0.9181,0.9479,0.9261,0.923,0.9664,0,0.9396,0.9299,2085_SSP585
UGA,Uganda,SSA,dmi,0.9227,0.9115,0,0.9193,0.915,0.9577,0,0.9157,0.9235,2085_SSP585
UKR,Ukraine,EUR,dmi,0,0,0.9971,0,0,1.0055,1.0035,1.0112,1.0063,2085_SSP585
URY,Uruguay,SAM,dmi,0,0.9711,0,0,0.9752,0,0.9793,0.9784,0.9738,2085_SSP585
USA,USA,NAM,dmi,0.9807,0.953,0.9964,0.9779,0.957,0.9922,0.9809,0.9876,0.9857,2085_SSP585
UZB,Uzbekistan,WANA,dmi,0.9836,0,0.9832,0.9795,0,0.9751,0.9785,0.9802,0.9808,2085_SSP585
VEN,Venezuela,SAM,dmi,0.9002,0.9003,0.9474,0.9244,0.9008,0.9499,0.9049,0.9054,0.9043,2085_SSP585
VNM,Viet Nam,SEA,dmi,0,0.9194,0,0.9001,0.9186,0.9382,0.9196,0.9171,0.9183,2085_SSP585
YEM,Yemen,WANA,dmi,0.9374,0,0,0.9584,0,0,0.9275,0,0.9466,2085_SSP585
ZAF,South Africa,SSA,dmi,0.9647,0.9662,0.9869,0.9555,0.9723,0.9797,0.9666,0.9675,0.969,2085_SSP585
ZMB,Zambia,SSA,dmi,0.9312,0.9379,0.9587,0.9335,0.9605,0,0.9369,0.9357,0.9329,2085_SSP585
ZWE,Zimbabwe,SSA,dmi,0.9424,0,0.9613,0.9416,0,0.9686,0.9493,0.9485,0.9442,2085_SSP585
AFG,Afghanistan,SA,meat_loss,  ,  ,  ,  ,  ,  ,  ,  ,  ,2045_SSP126
AGO,Angola,SSA,meat_loss,"18,119","3,307","1,268","4,327",362,796,75,"2,794","31,048",2045_SSP126
ALB,Albania,EUR,meat_loss,278,461,98,364,"4,298",395,517,712,"7,123",2045_SSP126
ARE,UAE,WANA,meat_loss,290,  ,  ,62,  ,  ,165,  ,516,2045_SSP126
ARG,Argentina,SAM,meat_loss,"51,326","62,092",639,"12,020","66,756",12,"9,388","71,584","273,818",2045_SSP126
ARM,Armenia,WANA,meat_loss,281,  ,259,"1,157",  ,"2,388",234,155,"4,474",2045_SSP126
AUS,Australia,EAP,meat_loss,"118,425","23,248",425,"31,225","7,964",612,"3,979","35,256","221,134",2045_SSP126
AUT,Austria,EUR,meat_loss,8,  ,290,8,  ,"1,960","1,072","5,576","8,913",2045_SSP126
AZE,Azerbaijan,WANA,meat_loss,573,  ,245,"7,290",33,"18,746","2,019","1,113","30,020",2045_SSP126
BDI,Burundi,SSA,meat_loss,  ,  ,  ,  ,421,"1,033",17,75,"1,547",2045_SSP126
BEL,Belgium,EUR,meat_loss,  ,  ,437,  ,  ,"3,986","2,946","1,250","8,618",2045_SSP126
BEN,Benin,SSA,meat_loss,"6,328","1,805",  ,"7,382",710,  ,44,46,"16,316",2045_SSP126
BFA,Burkina Faso,SSA,meat_loss,"7,533",630,  ,"95,583",474,  ,"1,156",221,"105,597",2045_SSP126
BGD,Bangladesh,SA,meat_loss,  ,171,  ,  ,"170,343",  ,"15,779","1,407","187,699",2045_SSP126
BGR,Bulgaria,EUR,meat_loss,17,  ,18,245,  ,"4,213",223,"1,299","6,016",2045_SSP126
BIH,Bosnia & Herzogovina,EUR,meat_loss,6,32,12,183,173,"1,545",46,643,"2,640",2045_SSP126
BLR,Belarus,EUR,meat_loss,  ,  ,"1,127",  ,  ,"20,449",817,"8,916","31,309",2045_SSP126
BLZ,Belize,CAM,meat_loss,  ,16,  ,  ,133,  ,21,575,746,2045_SSP126
BOL,Bolivia,SAM,meat_loss,"1,560","11,800","1,224",945,"2,117",194,322,"32,658","50,821",2045_SSP126
BRA,Brazil,SAM,meat_loss,"67,343","449,259","4,647","143,561","1,296,117","12,184","116,978","247,392","2,337,482",2045_SSP126
BRN,Brunei Darussalam,SEA,meat_loss,  ,  ,  ,  ,3,  ,1,20,25,2045_SSP126
BTN,Bhutan,SA,meat_loss,4,3,33,17,775,839,56,534,"2,262",2045_SSP126
BWA,Botswana,SSA,meat_loss,"15,629",  ,  ,"3,638",  ,  ,325,35,"19,626",2045_SSP126
CAF,Central African Rep,SSA,meat_loss,"6,295","32,912",  ,72,"2,942",  ,235,"40,664","83,121",2045_SSP126
CAN,Canada,NAM,meat_loss,1,  ,"5,622",  ,  ,"27,820","4,185","18,135","55,763",2045_SSP126
CHE,Switzerland,EUR,meat_loss,31,152,"1,203",  ,  ,455,"1,390","3,715","6,946",2045_SSP126
CHL,Chile,SAM,meat_loss,695,415,139,"1,115","2,082",9,212,"1,688","6,355",2045_SSP126
CHN,China,EAP,meat_loss,835,291,"16,538","24,582","175,385","363,706","75,419","155,480","812,236",2045_SSP126
CIV,Cote d'Ivoire,SSA,meat_loss,903,"9,061",  ,"2,181","5,303",  ,83,106,"17,636",2045_SSP126
CMR,Cameroon,SSA,meat_loss,"3,409","48,672","1,585","18,204","7,798","4,658","1,351","28,510","114,186",2045_SSP126
COD,Dem Rep of Congo,SSA,meat_loss,248,"2,431",22,11,"3,528",67,42,"8,992","15,341",2045_SSP126
COG,Congo,SSA,meat_loss,  ,"2,229",  ,  ,214,  ,20,"1,890","4,353",2045_SSP126
COL,Colombia,SAM,meat_loss,609,"28,051","3,562",365,"82,802","19,870","7,052","39,222","181,534",2045_SSP126
CRI,Costa Rica,CAM,meat_loss,  ,  ,  ,  ,"2,987",17,586,"7,688","11,278",2045_SSP126
CUB,Cuba,CAM,meat_loss,  ,776,  ,  ,"30,517",  ,"2,545","6,221","40,060",2045_SSP126
CYP,Cyprus,WANA,meat_loss,102,  ,  ,806,  ,  ,304,277,"1,490",2045_SSP126
CZE,Czech Republic,EUR,meat_loss,  ,  ,  ,  ,  ,"2,068",408,"1,440","3,916",2045_SSP126
DEU,Germany,EUR,meat_loss,  ,  ,"2,047",29,  ,"32,936","6,215","11,656","52,882",2045_SSP126
DJI,Djibouti,SSA,meat_loss,"1,178",  ,  ,46,  ,  ,7,15,"1,246",2045_SSP126
DNK,Denmark,EUR,meat_loss,  ,  ,24,4,  ,"6,509","1,445",265,"8,247",2045_SSP126
DMA,Dominica,CAM,meat_loss,  ,132,  ,591,"23,424","1,341","2,422","3,957","31,868",2045_SSP126
DZA,Algeria,WANA,meat_loss,"1,561",  ,  ,"9,181","1,138",234,"2,388","4,150","18,652",2045_SSP126
ECU,Ecuador,SAM,meat_loss,664,"2,192",121,"4,856","8,794","5,395","1,690","3,818","27,529",2045_SSP126
EGY,Egypt,WANA,meat_loss,"45,800",  ,  ,"74,521",  ,  ,"31,586",  ,"151,907",2045_SSP126
ERI,Eritrea,SSA,meat_loss,"5,236",  ,  ,"8,158",  ,  ,42,35,"13,470",2045_SSP126
ESP,Spain,EUR,meat_loss,"4,390",137,128,"31,509","6,486",428,"10,568","18,899","72,545",2045_SSP126
EST,Estonia,EUR,meat_loss,  ,  ,36,  ,  ,698,95,813,"1,643",2045_SSP126
ETH,Ethiopia,SSA,meat_loss,"20,563","1,409","1,192","45,144","9,908","41,163",941,"8,414","128,735",2045_SSP126
FIN,Finland,EUR,meat_loss,  ,  ,39,  ,  ,863,376,"3,822","5,100",2045_SSP126
FRA,France,EUR,meat_loss,"2,034","2,907","3,231","3,724","16,627","17,734","6,761","9,565","62,584",2045_SSP126
GAB,Gabon,SSA,meat_loss,  ,150,  ,  ,27,  ,3,297,477,2045_SSP126
GBR,UK,EUR,meat_loss,13,"1,813","7,761",14,"1,719","13,169","6,302",866,"31,658",2045_SSP126
GEO,Georgia,WANA,meat_loss,496,  ,213,931,"1,846","2,684",598,"1,911","8,679",2045_SSP126
GHA,Ghana,SSA,meat_loss,814,"1,522",  ,"3,078","2,411",  ,82,92,"7,999",2045_SSP126
GIN,Guinea,SSA,meat_loss,"24,863","6,911",  ,"14,673","40,052",  ,774,951,"88,224",2045_SSP126
GMB,Gambia,SSA,meat_loss,213,  ,  ,"6,456",  ,  ,316,519,"7,505",2045_SSP126
GNB,Guinea-Bissau,SSA,meat_loss,"2,950",  ,  ,"4,412",  ,  ,  ,"1,194","8,556",2045_SSP126
GNQ,Equatorial Guinea,SSA,meat_loss,  ,1,  ,  ,25,  ,  ,87,113,2045_SSP126
GRC,Greece,EUR,meat_loss,508,40,44,"3,967",327,"2,589","1,584","1,620","10,679",2045_SSP126
GTM,Guatemala,CAM,meat_loss,  ,1,5,"1,110","15,104",588,"1,354","10,635","28,797",2045_SSP126
GUY,Guyana,SAM,meat_loss,  ,52,  ,  ,27,  ,1,696,776,2045_SSP126
HND,Honduras,CAM,meat_loss,94,201,132,651,"10,914","1,595",782,"16,084","30,453",2045_SSP126
HRV,Croatia,EUR,meat_loss,5,35,4,49,193,"2,118",313,"1,186","3,903",2045_SSP126
HTI,Haiti,CAM,meat_loss,26,182,281,859,"18,797","1,484",105,"1,397","23,130",2045_SSP126
HUN,Hungary,EUR,meat_loss,  ,  ,2,  ,  ,"2,311",237,264,"2,814",2045_SSP126
IDN,Indonesia,SEA,meat_loss,16,"1,044",20,330,"51,834","5,018","5,031","41,709","105,003",2045_SSP126
IND,India,SA,meat_loss,"5,323","1,074",176,"626,085","129,433","10,356","74,443","131,280","978,170",2045_SSP126
IRL,Ireland,EUR,meat_loss,  ,"7,420","2,474",  ,"4,993","1,675","1,170",502,"18,235",2045_SSP126
IRN,Iran,SA,meat_loss,"26,623",  ,363,"44,506","1,085","2,348","6,454","5,518","86,896",2045_SSP126
IRQ,Iraq,WANA,meat_loss,"4,154",  ,  ,"16,224",  ,"1,452",996,14,"22,840",2045_SSP126
ISL,Iceland,EUR,meat_loss,  ,  ,  ,  ,  ,  ,  ,  ,  ,2045_SSP126
ISR,Israel,WANA,meat_loss,"1,139",  ,  ,"5,316",  ,  ,"2,469",5,"8,929",2045_SSP126
ITA,Italy,EUR,meat_loss,783,299,"1,692","14,141","7,417","49,593","24,510","12,285","110,720",2045_SSP126
JAM,Jamaica,CAM,meat_loss,  ,  ,  ,  ,"2,803",56,597,503,"3,959",2045_SSP126
JOR,Jordan,WANA,meat_loss,565,  ,  ,336,  ,  ,71,  ,973,2045_SSP126
JPN,Japan,EAP,meat_loss,  ,  ,49,39,"3,773","6,150","11,659","24,027","45,697",2045_SSP126
KAZ,Kazakhstan,WANA,meat_loss,  ,  ,"23,511",  ,  ,"12,653",172,410,"36,746",2045_SSP126
KEN,Kenya,SSA,meat_loss,"16,721","1,260","1,347","13,783","21,309","14,848",557,"8,323","78,148",2045_SSP126
KGZ,Kyrgyzstan,WANA,meat_loss,87,  ,"1,610",190,  ,"2,355",82,71,"4,396",2045_SSP126
KHM,Cambodia,SEA,meat_loss,  ,"2,427",  ,  ,"13,161",  ,88,"6,292","21,968",2045_SSP126
KOR,South Korea,SEA,meat_loss,  ,  ,  ,  ,45,"9,824","5,009","8,712","23,591",2045_SSP126
KWT,Kuwait,WANA,meat_loss,290,  ,  ,  ,  ,  ,20,  ,310,2045_SSP126
LAO,Laos,SEA,meat_loss,17,"12,619",106,50,"12,012",  ,216,"9,707","34,727",2045_SSP126
LBN,Lebanon,WANA,meat_loss,110,  ,49,338,65,32,161,23,778,2045_SSP126
LBR,Liberia,SSA,meat_loss,  ,  ,  ,  ,480,  ,3,226,708,2045_SSP126
LBY,Libya,WANA,meat_loss,"1,586",  ,  ,210,  ,  ,222,133,"2,151",2045_SSP126
LKA,Sri Lanka,SA,meat_loss,  ,  ,  ,  ,"3,429",103,314,"3,883","7,729",2045_SSP126
LSO,Lesotho,SSA,meat_loss,  ,  ,592,122,  ,"2,252",58,  ,"3,024",2045_SSP126
LTU,Lithuania,EUR,meat_loss,  ,  ,93,  ,  ,"2,814",401,"1,299","4,607",2045_SSP126
LUX,Luxembourg,EUR,meat_loss,  ,  ,59,  ,  ,315,97,192,663,2045_SSP126
LVA,Latvia,EUR,meat_loss,  ,  ,57,  ,  ,"1,142",111,962,"2,272",2045_SSP126
MAR,Morocco,WANA,meat_loss,"1,731",  ,56,"27,718",398,"2,167","3,383","3,045","38,498",2045_SSP126
MDG,Madagascar,SSA,meat_loss,"36,508","8,088",712,"12,190","14,927","1,265",690,"18,636","93,017",2045_SSP126
MEX,Mexico,CAM,meat_loss,"45,196",103,"2,823","41,299","51,916","14,623","14,761","99,764","270,484",2045_SSP126
MKD,Macedonia,EUR,meat_loss,91,  ,32,423,  ,491,230,429,"1,696",2045_SSP126
MLI,Mali,SSA,meat_loss,"31,377",  ,  ,"53,449",  ,  ,382,293,"85,500",2045_SSP126
MMR,Myanmar,SEA,meat_loss,76,"20,725","2,172","10,092","37,340",850,515,"53,106","124,876",2045_SSP126
MNE,Montenegro,EUR,meat_loss,  ,  ,  ,  ,  ,  ,  ,  ,  ,2045_SSP126
MNG,Mongolia,EAP,meat_loss,  ,  ,"3,834",  ,  ,955,43,312,"5,144",2045_SSP126
MOZ,Mozambique,SSA,meat_loss,"3,018",226,  ,"3,113","1,481",  ,368,"5,074","13,281",2045_SSP126
MRT,Mauritania,SSA,meat_loss,"10,573",  ,  ,"7,698",  ,  ,8,63,"18,342",2045_SSP126
MUS,Mauritius,SSA,meat_loss,  ,  ,  ,  ,  ,  ,  ,  ,  ,2045_SSP126
MWI,Malawi,SSA,meat_loss,451,681,10,"4,983","1,599",307,332,"1,990","10,352",2045_SSP126
MYS,Malaysia,SEA,meat_loss,  ,52,2,  ,"2,245",10,316,"5,048","7,673",2045_SSP126
